Client_ID,Name,Gender,Age,City,Length_at_Residence,Education
90,E F Osborne,M,37,Regina,8,3
91,T G Wise,F,54,Saskatoon,9,2
92,A T Harvey,F,47,Regina,16,2
93,C D Bishop,M,26,Saskatoon,7,3
94,F J Hanson,F,30,,0,1
95,M E Horton,F,36,Moose Jaw,8,1
96,M E Dalton,M,36,Saskatoon,10,1
97,G J James,M,25,Regina,0,4
98,J B Morrison,M,33,Moose Jaw,11,1
99,S C Bridges,M,40,Regina,7,0
100,E C Guerra,M,30,Regina,4,4
101,A L Parker,F,42,Saskatoon,7,1
102,E T Stevens,M,36,Moose Jaw,10,2
103,G L Cochran,F,50,Saskatoon,37,2
104,J L Brown,M,21,Saskatoon,21,1
105,J A Owens,M,43,Saskatoon,15,1
106,J W Gallagher,M,21,Saskatoon,19,2
107,W L Hess,F,34,Saskatoon,8,4
108,E M Hernandez,F,52,Regina,18,2
109,A H Lyons,M,29,Saskatoon,12,0
110,G L Navarro,F,51,North Battleford,14,1
111,L S Fields,M,22,Moose Jaw,14,4
112,D A Wyatt,F,50,Regina,8,2
113,D D Burnett,M,28,North Battleford,28,0
114,A R Gallegos,F,34,Saskatoon,18,1
115,J M Collier,M,51,Saskatoon,14,2
116,S W Peters,F,23,Regina,17,1
117,H A Aguilar,F,30,Saskatoon,5,1
118,B E Fernandez,M,33,Moose Jaw,7,3
119,S A Mccormick,M,55,Moose Jaw,24,2
120,J C Hughes,F,26,Moose Jaw,11,2
121,F C Schneider,F,56,Moose Jaw,9,2
122,K P Huff,F,44,Saskatoon,24,2
123,U R Erickson,M,38,Regina,18,4
124,E J Moore,F,38,Saskatoon,9,3
125,C F Vincent,F,31,Regina,2,1
126,B R Myers,F,50,Saskatoon,14,1
127,C A Graham,F,23,Regina,23,1
128,J S Moran,F,23,Regina,15,0
129,W D Lynch,F,24,Regina,18,2
130,H D Blankenship,F,46,Saskatoon,2,2
131,L L Baxter,M,25,Moose Jaw,8,3
132,C G Curry,M,56,Moose Jaw,1,3
133,K O Buchanan,M,35,Saskatoon,17,2
134,S R Campos,F,54,Regina,0,2
135,F S Humphrey,M,51,Regina,9,2
136,W B Flynn,F,47,Saskatoon,17,2
137,O L Mcguire,F,51,Regina,20,2
138,K J Fischer,F,45,Saskatoon,7,3
139,D I Humphrey,M,53,Moose Jaw,14,
140,E R Vega,M,25,Regina,12,2
141,S C Warren,M,46,Regina,38,2
142,E V Sims,F,22,Regina,13,1
143,S A Grant,M,36,Saskatoon,15,2
144,M S Trevino,F,55,Moose Jaw,0,1
145,A D Norton,M,42,North Battleford,8,0
146,F D Aguilar,M,24,Saskatoon,14,1
147,C J Walter,F,48,Saskatoon,5,1
148,A C Collier,M,43,Saskatoon,28,2
149,A H Dickerson,F,38,Regina,9,0
150,L N Foster,F,34,Regina,9,4
151,B M Duran,F,21,Saskatoon,1,3
152,C L Dennis,M,48,Regina,0,3
153,E T Bell,F,26,Saskatoon,0,2
154,L B Trevino,M,50,Saskatoon,6,1
155,T L Beard,F,32,Saskatoon,2,1
156,D L Trevino,F,34,Regina,18,2
157,G T Collier,M,43,Regina,3,3
158,L F Howard,M,53,Saskatoon,0,2
159,A L Hobbs,M,51,Saskatoon,14,3
160,R M Ball,M,22,Regina,6,1
161,D M Beasley,M,52,Saskatoon,4,2
162,C E Parrish,M,49,North Battleford,3,3
163,J C Dalton,F,30,Saskatoon,15,2
164,K A Owen,M,34,Saskatoon,12,3
165,M A Navarro,F,28,Saskatoon,2,1
166,O B Lester,M,47,Saskatoon,0,2
167,L H Stephens,M,53,Moose Jaw,7,3
168,R M Ballard,M,49,North Battleford,8,1
169,A M Smith,F,26,Moose Jaw,1,1
170,W L Duran,M,44,North Battleford,19,2
171,J A Blair,F,31,Regina,10,1
172,R F Parker,F,34,Saskatoon,14,2
173,B W Bailey,F,42,Saskatoon,34,1
174,H J Gardner,M,43,Saskatoon,15,4
175,E L Drake,F,30,Moose Jaw,18,2
176,H D Wade,F,40,Regina,0,2
177,V I Schwartz,F,41,Moose Jaw,19,2
178,D E Rodriguez,M,48,Moose Jaw,11,3
179,F T Garcia,M,47,Saskatoon,18,4
180,P S Perez,M,46,Regina,10,3
181,M K Cunningham,M,36,Regina,6,3
182,F C Bush,F,42,Regina,37,2
183,M R Beard,M,48,Regina,13,0
184,V R Mathews,M,28,Saskatoon,13,4
185,P S Potter,F,46,Saskatoon,10,2
186,R D Harrington,F,37,Regina,1,4
187,W A Wiggins,F,32,Saskatoon,13,3
188,C L Ramsey,F,44,Regina,2,1
189,M A Hayes,M,39,Saskatoon,9,4
190,H R Colon,M,24,Regina,13,1
191,T A Christensen,M,41,Regina,10,2
192,A A Castillo,M,55,Saskatoon,14,2
193,S B Paul,M,40,Regina,6,2
194,M M Cunningham,F,41,North Battleford,11,2
195,W E Wood,M,38,Moose Jaw,15,3
196,G J Merritt,F,31,Regina,15,3
197,A A Abbott,F,23,Saskatoon,0,3
198,J O Stevenson,F,38,North Battleford,8,2
199,E A Barnett,F,32,Moose Jaw,22,3
200,E J Benson,F,23,Saskatoon,9,2
201,A P Pitts,M,20,North Battleford,3,2
202,R A Bruce,M,26,Regina,4,3
203,R J Williamson,M,52,Saskatoon,36,0
204,J A Ware,M,40,Regina,20,1
205,J A Ferguson,M,20,Saskatoon,18,3
206,D D Maynard,F,32,,17,4
207,I H Marshall,M,31,Regina,0,1
208,R D Trujillo,M,40,Saskatoon,40,1
209,P A Marshall,M,19,Saskatoon,4,3
210,R V Brewer,F,30,Regina,18,3
211,J C Dixon,M,42,Saskatoon,6,1
212,N F Vance,F,51,Saskatoon,28,3
213,C A Keith,M,24,Saskatoon,24,2
214,S C Wade,F,30,Regina,17,2
215,A K Stevens,M,30,Saskatoon,11,1
216,K C Briggs,F,44,Regina,3,3
217,S N Peters,F,35,Saskatoon,12,2
218,A A Fitzgerald,M,26,,18,4
219,R F Mccarthy,F,38,Regina,21,3
220,S K Medina,M,52,Regina,23,4
221,E S Pitts,F,55,Saskatoon,21,1
222,A F Calhoun,M,35,Saskatoon,17,2
223,A A Blackwell,F,56,Saskatoon,13,1
224,P F Lambert,M,56,Saskatoon,12,1
225,P P Hunt,M,30,Saskatoon,23,3
226,H D Gaines,M,55,,4,2
227,A C Marks,M,48,Regina,13,3
228,J C Duncan,F,35,Regina,16,4
229,C H Burke,F,22,Regina,15,1
230,O L Jacobs,F,31,,18,3
231,E J Payne,M,47,Regina,10,8
232,R P Garcia,M,29,Regina,27,0
233,T P Norton,F,40,Moose Jaw,12,3
234,K P Arnold,M,27,Regina,5,1
235,J L Salinas,F,48,North Battleford,2,2
236,S J Jennings,F,20,Moose Jaw,20,1
237,J A Parrish,F,50,North Battleford,19,2
238,G S Keller,M,46,Saskatoon,11,0
239,C E Mcgee,M,50,Regina,14,3
240,M R Collins,F,33,Regina,13,2
241,D K Crawford,M,55,Saskatoon,12,1
242,D K Ayala,M,30,Regina,27,1
243,A P Rowe,F,25,Saskatoon,11,3
244,B Y Horton,M,25,Saskatoon,10,0
245,R R Dorsey,F,34,Saskatoon,7,2
246,A P Watts,M,28,Regina,16,2
247,V D Mack,F,48,Regina,10,4
248,K E Lane,F,53,Saskatoon,14,2
249,M K Hart,F,24,Regina,11,1
250,H A Morrison,M,27,Regina,9,1
251,P B Becker,F,47,Regina,15,0
252,L S Logan,M,50,Regina,10,1
253,D A Parsons,F,30,Saskatoon,5,3
254,L E Nelson,M,35,Regina,17,3
255,A K Simpson,F,36,Moose Jaw,10,2
256,A K Mcgee,F,49,Regina,7,1
257,Z C Nunez,M,26,Moose Jaw,4,3
258,H E Owen,M,46,North Battleford,9,0
259,J M Parker,F,56,Regina,9,4
260,I R Decker,M,23,Saskatoon,12,1
261,D T Juarez,M,33,Saskatoon,33,2
262,P J Ramirez,F,34,Regina,16,1
263,P A Stewart,M,43,Saskatoon,9,1
264,E L Hickman,F,48,Moose Jaw,3,1
265,L L Wagner,M,53,Moose Jaw,22,3
266,D R Boone,F,39,Moose Jaw,10,4
267,B R Lindsey,F,41,Regina,10,2
268,R C Knox,M,49,Regina,13,1
269,S K Flynn,F,43,Regina,10,3
270,F C Stevens,M,53,Regina,51,1
271,I F Casey,M,47,Moose Jaw,0,8
272,E L Lawson,F,51,Saskatoon,5,4
273,L M Romero,M,53,Saskatoon,29,2
274,J J Shaw,F,43,Regina,10,2
275,B L Williamson,F,45,Regina,12,1
276,M L Atkins,F,28,Saskatoon,5,2
277,L W Jennings,F,44,Regina,13,2
278,R J Atkinson,F,28,Moose Jaw,12,3
279,E A Smith,M,38,Regina,38,1
280,L D Hart,M,54,North Battleford,5,1
281,A B Hoover,M,56,North Battleford,16,2
282,C A Kirk,F,48,North Battleford,14,1
283,E D Medina,M,19,Regina,15,2
284,E K Holland,F,31,Regina,0,3
285,O L Lamb,M,34,Moose Jaw,4,1
286,A S Jordan,M,23,Moose Jaw,11,
287,I I Ballard,F,30,Moose Jaw,7,2
288,A A Howard,F,46,Saskatoon,0,2
289,C R Walton,F,31,Saskatoon,4,3
290,F K Silva,F,49,Saskatoon,6,0
291,R L Brewer,F,29,Saskatoon,11,2
292,T L Summers,M,40,Regina,13,2
293,D A Morris,F,24,Regina,9,3
294,M C Ramsey,M,45,Regina,14,4
295,R P Schwartz,M,44,Saskatoon,9,1
296,J F Owen,M,34,Moose Jaw,21,2
297,A A Rodgers,M,46,Regina,22,0
298,O T Oliver,M,33,North Battleford,4,3
299,G A Wright,F,56,Saskatoon,8,1
300,V K Fox,F,44,Regina,4,2
301,M J Moody,M,29,Saskatoon,21,1
302,J J Castillo,M,26,Saskatoon,9,4
303,M D Parrish,M,51,Regina,18,3
304,D S Petersen,F,42,Regina,5,1
305,A R Berry,F,34,North Battleford,18,4
306,A F Lawson,M,37,Regina,9,3
307,J M Hart,F,26,Saskatoon,1,4
308,O R Ruiz,F,28,Regina,13,1
309,V B Morgan,M,47,Regina,30,3
310,O C Bryant,F,44,Regina,9,1
311,F E Brooks,M,21,Regina,5,3
312,N C Shelton,M,30,Moose Jaw,12,1
313,D S Moran,M,38,Saskatoon,4,2
314,W E Jones,F,25,,12,3
315,L E Mullins,F,19,Regina,2,1
316,S A Page,M,54,Regina,2,2
317,A J Garza,M,20,Moose Jaw,15,1
318,A E Espinoza,M,49,Regina,4,1
319,M L Lambert,F,40,Moose Jaw,0,3
320,E E Savage,M,50,Saskatoon,3,1
321,S K Munoz,F,52,Saskatoon,10,2
322,M M Burns,F,52,Regina,16,2
323,W A Cain,F,29,Saskatoon,6,
324,J S Bennett,M,47,Regina,18,1
325,J M Garcia,M,44,Regina,4,2
326,C V Jimenez,F,44,Moose Jaw,24,1
327,M G Sullivan,M,56,Regina,18,1
328,F M Warner,M,43,Moose Jaw,0,1
329,H M Mendoza,F,23,Regina,11,4
330,R A Ross,M,23,Regina,3,1
331,F L Beck,M,25,Saskatoon,11,3
332,E C Shepherd,M,54,Moose Jaw,22,1
333,J P Hartman,M,20,Regina,19,4
334,D E Sweeney,M,53,Regina,3,2
335,E D Gonzales,M,27,Saskatoon,8,1
336,C V Anthony,F,36,Saskatoon,21,1
337,C W Fowler,M,55,Saskatoon,14,2
338,S E Dorsey,F,20,Saskatoon,13,1
339,T R Newman,M,47,Saskatoon,32,1
340,R D Stafford,M,48,Regina,13,2
341,Z A Ford,M,26,Regina,19,3
342,A R Callahan,F,33,Saskatoon,9,2
343,F N Collins,M,21,Saskatoon,14,1
344,V Z Hernandez,M,47,Regina,20,1
345,R J Bell,F,42,Regina,42,3
346,E M Thomas,F,27,Saskatoon,9,4
347,E S Lowe,M,28,Saskatoon,8,1
348,N W Schneider,M,28,Moose Jaw,5,3
349,W E Santiago,F,54,Moose Jaw,15,1
350,K A Rogers,M,49,Regina,25,4
351,E Z Horton,M,41,Saskatoon,9,4
352,T W Webb,M,55,Saskatoon,15,4
353,A B Blackwell,F,40,Saskatoon,14,2
354,J J Ryan,F,50,Saskatoon,11,2
355,D H Shepherd,M,30,Saskatoon,25,1
356,B M Thornton,F,39,Saskatoon,5,1
357,F Z Nguyen,M,42,Moose Jaw,8,2
358,D V Bond,M,56,Moose Jaw,16,2
359,S K Banks,M,43,Moose Jaw,10,3
360,K J Gutierrez,F,21,Saskatoon,0,1
361,P H Hubbard,M,33,Saskatoon,6,4
362,N W Lowe,M,28,Regina,20,2
363,R R Decker,F,44,Saskatoon,25,2
364,C A Rowe,M,32,Saskatoon,10,2
365,P A Lloyd,F,40,Regina,1,1
366,G C Wells,F,53,Saskatoon,12,2
367,S A Perez,M,40,Regina,11,1
368,K S Robbins,M,47,Regina,31,1
369,P K Padilla,M,54,Saskatoon,17,1
370,R S Hoffman,M,36,Saskatoon,12,1
371,J E Molina,F,45,Moose Jaw,14,4
372,J A Bruce,F,22,Moose Jaw,13,0
373,C A Francis,F,52,Regina,7,3
374,E B Saunders,M,32,Moose Jaw,14,3
375,W A Marsh,M,43,Saskatoon,10,4
376,V O Holmes,M,45,Saskatoon,33,1
377,C A Foster,F,25,Moose Jaw,11,1
378,R C Moore,F,47,Regina,2,2
379,D A Welch,M,39,Regina,3,1
380,E C Reynolds,F,32,Moose Jaw,27,3
381,K A Vaughn,F,43,Regina,21,2
382,A H Nelson,F,42,Regina,34,1
383,E A Gregory,F,39,Regina,1,2
384,J C Weiss,F,39,North Battleford,17,3
385,S S Chase,M,19,Moose Jaw,19,0
386,A R Preston,M,32,Regina,12,1
387,A I Grimes,F,46,North Battleford,4,1
388,L L Owens,F,55,Null,42,3
389,Z J Hansen,F,30,Regina,9,2
390,J J Lee,M,46,Regina,12,2
391,C R Contreras,M,40,Regina,0,2
392,A A Leonard,M,35,Regina,13,4
393,D R Norton,M,28,Moose Jaw,9,1
394,S A Sloan,F,20,,20,2
395,J P Wheeler,M,20,Saskatoon,16,1
396,H L Henderson,F,36,Saskatoon,23,2
397,V L Banks,F,22,Moose Jaw,9,2
398,P W Thompson,M,42,Regina,17,2
399,L H Carson,F,32,Regina,1,1
400,L F Beard,F,29,Moose Jaw,4,0
401,L E Gregory,M,30,Saskatoon,5,2
402,H M Bridges,F,33,Moose Jaw,8,1
403,R A Hobbs,M,48,Moose Jaw,6,2
404,A J Norris,F,52,Regina,7,2
405,J E Adams,M,54,North Battleford,22,3
406,L L Cross,F,26,Regina,3,2
407,E H Nunez,F,48,Regina,9,2
408,F A Kramer,F,43,Saskatoon,20,2
409,T V Dawson,M,19,Regina,13,3
410,M K Scott,M,53,Saskatoon,12,2
411,B R Hernandez,M,50,North Battleford,3,2
412,L J Guzman,F,33,Saskatoon,33,2
413,E E Gonzalez,F,52,North Battleford,15,1
414,S E Roy,F,45,Regina,0,3
415,R L Gibbs,M,55,Moose Jaw,27,2
416,S J Dunn,M,49,Regina,2,3
417,L M Rowe,M,25,Regina,18,1
418,R K Grimes,F,21,Saskatoon,12,1
419,Z Y Cannon,M,49,Moose Jaw,23,0
420,S G Lowery,M,54,Regina,6,3
421,K B Wagner,M,24,Saskatoon,4,1
422,K C Schultz,M,47,Saskatoon,0,2
423,B V Paul,M,20,Regina,11,3
424,S M Erickson,M,37,Regina,12,3
425,J K Roberson,M,50,Regina,17,2
426,E S Calhoun,F,53,Regina,3,3
427,K R Leonard,F,56,Saskatoon,14,2
428,R L Shaw,F,19,Regina,15,2
429,M U Pitts,F,52,North Battleford,11,2
430,A O Blackwell,M,37,Moose Jaw,20,1
431,R S Cohen,F,43,Saskatoon,7,4
432,C K Patterson,M,55,Saskatoon,12,3
433,M M Fowler,F,28,Regina,9,0
434,J F Pierce,M,44,Moose Jaw,9,1
435,N E Powell,M,48,Saskatoon,13,1
436,R A Eaton,M,42,Regina,23,
437,C L Bates,F,21,Moose Jaw,12,1
438,A N Warner,M,29,Regina,17,1
439,L M Sutton,M,52,Saskatoon,23,2
440,K J James,F,24,Moose Jaw,4,2
441,M A Drake,M,53,Saskatoon,11,2
442,J O Mcbride,F,31,Moose Jaw,21,0
443,P C Moss,F,55,Regina,1,1
444,A M Fields,M,37,Saskatoon,32,2
445,J H Trujillo,F,42,Regina,14,3
446,E Z Doyle,M,50,North Battleford,17,3
447,S L Kirby,F,21,Regina,9,2
448,L B Norman,F,55,Moose Jaw,10,1
449,W A Estrada,F,29,Saskatoon,8,3
450,D E Baldwin,F,35,Saskatoon,22,4
451,M I Patton,M,42,Regina,6,3
452,K K Jennings,F,45,Saskatoon,18,3
453,O R Rodgers,M,53,Moose Jaw,8,1
454,D V Hughes,F,48,Moose Jaw,10,1
455,H A Thomas,F,37,Regina,10,2
456,S C Warner,M,22,Saskatoon,0,2
457,H A Harrington,F,22,Moose Jaw,6,1
458,C C Francis,M,22,Regina,2,3
459,F M Riley,M,34,Regina,18,2
460,J L Little,F,43,Moose Jaw,18,1
461,C J Henson,M,34,Saskatoon,2,2
462,B D Collins,F,38,Saskatoon,9,3
463,E E Marsh,M,36,Saskatoon,16,4
464,C S Floyd,F,19,Regina,11,3
465,G C Newton,F,43,Saskatoon,8,1
466,M D Castillo,M,26,Saskatoon,14,4
467,J E Wilcox,M,21,Saskatoon,20,2
468,A C Taylor,F,25,Saskatoon,3,2
469,D K Small,F,28,Saskatoon,28,2
470,K C Shelton,M,46,Regina,8,3
471,P J Singleton,F,23,Regina,18,2
472,S A Barker,F,41,Moose Jaw,27,1
473,D E Schneider,F,27,Saskatoon,13,2
474,C F Grimes,F,34,Regina,17,1
475,R J Harrison,M,46,Regina,6,3
476,M L Douglas,F,42,Moose Jaw,8,2
477,A B Campbell,M,41,Regina,16,3
478,J C Abbott,F,25,Regina,25,3
479,G A Walter,F,31,Regina,9,1
480,D D Peters,F,20,Regina,10,3
481,H A Keith,M,40,Moose Jaw,6,2
482,M L Drake,M,42,Regina,33,3
483,K S Wells,F,39,Saskatoon,27,1
484,Z T Perry,M,55,Moose Jaw,10,1
485,L B Duncan,M,34,Moose Jaw,9,2
486,H L Watson,F,19,Saskatoon,13,0
487,E J Tucker,F,47,Saskatoon,0,2
488,J F Hanson,M,45,Saskatoon,5,0
489,T A Butler,F,40,North Battleford,18,0
490,A C Roberts,M,38,Saskatoon,5,2
491,W I Lee,M,49,Regina,6,3
492,D L Ray,F,39,Saskatoon,14,3
493,A Z Collier,M,19,Regina,15,2
494,A M Mendez,F,39,Saskatoon,7,4
495,D K Tanner,F,31,Saskatoon,13,4
496,S L Buchanan,M,28,Regina,28,1
497,C C Cameron,M,22,Regina,10,2
498,L K Atkinson,M,53,North Battleford,25,0
499,L A Fox,M,27,Saskatoon,0,1
500,S J Roy,M,19,Saskatoon,4,3
501,J R Wagner,F,36,Regina,16,4
502,E C Barber,F,25,North Battleford,10,0
503,K V Luna,F,25,Regina,13,4
504,S W Day,F,43,Regina,7,2
505,E M Trujillo,F,43,Regina,0,2
506,R J Trujillo,M,48,Moose Jaw,10,4
507,R R Oneal,M,45,Regina,8,2
508,N A Simon,F,35,North Battleford,7,2
509,P I Sullivan,F,44,Saskatoon,19,4
510,J H Alexander,M,52,Saskatoon,4,1
511,S A Mcdonald,F,41,Moose Jaw,19,1
512,A S Trevino,M,44,North Battleford,24,2
513,J L Richardson,F,56,Regina,29,0
514,E A Hogan,F,36,Regina,9,1
515,C C Dunn,F,46,Regina,16,0
516,A L Valdez,M,52,,5,0
517,M J Santiago,F,25,Saskatoon,9,1
518,A A Mckinney,F,36,Regina,7,2
519,R W Mathews,M,46,Saskatoon,6,2
520,R M Ballard,M,38,Saskatoon,20,1
521,A E Bates,M,49,Null,3,1
522,E P Gregory,F,25,Regina,5,3
523,V G Castro,M,35,North Battleford,15,1
524,S B Barrett,F,54,Regina,0,1
525,I M York,F,37,Moose Jaw,13,1
526,C T Kramer,F,36,Moose Jaw,8,1
527,Z V Wilcox,F,39,Saskatoon,15,0
528,A C Greer,F,35,Regina,12,4
529,E J Lawson,M,47,Regina,27,1
530,R L Tate,F,23,Saskatoon,23,4
531,A W Terry,M,49,Saskatoon,18,2
532,L A Floyd,F,40,Moose Jaw,31,2
533,E S Jefferson,M,37,Saskatoon,37,1
534,M L Tran,M,48,Regina,13,2
535,L L Rose,F,19,Saskatoon,10,4
536,M R Chapman,F,55,Saskatoon,0,2
537,M P Lambert,F,27,Moose Jaw,22,3
538,B F Love,M,24,Regina,7,2
539,C F Conley,M,18,Regina,8,1
540,R D Berry,F,32,Regina,4,1
541,D C Carr,M,26,Saskatoon,7,2
542,H A Mitchell,M,19,Saskatoon,19,1
543,K D Love,M,24,Saskatoon,15,2
544,F S Higgins,F,42,North Battleford,11,1
545,N E Thompson,F,51,Regina,16,4
546,T F Cooper,F,44,Saskatoon,0,1
547,J D Nixon,M,46,Saskatoon,0,3
548,J C Cain,F,44,Saskatoon,12,2
549,U R Gonzalez,M,21,Saskatoon,19,1
550,A S Lewis,F,28,Saskatoon,10,2
551,K J Wolfe,M,20,Saskatoon,12,1
552,V A Mendez,M,41,North Battleford,18,3
553,L C Mcclure,F,38,Saskatoon,5,1
554,B A Payne,M,52,Saskatoon,9,1
555,J M Carroll,M,49,North Battleford,4,1
556,L J Flores,M,45,North Battleford,4,1
557,E D Simpson,F,32,Saskatoon,14,1
558,E K Lambert,M,42,Regina,14,2
559,Z A Burke,M,28,Saskatoon,15,2
560,A L Howard,F,49,Moose Jaw,6,2
561,C V Todd,F,23,Saskatoon,17,1
562,B S Wolf,M,46,Regina,3,3
563,M M Park,F,26,Saskatoon,17,1
564,E J Park,F,49,Saskatoon,6,1
565,K A Kirby,M,40,Saskatoon,27,2
566,W B Black,F,49,Saskatoon,11,1
567,K C Barber,M,39,Regina,0,4
568,E E Newton,M,32,Saskatoon,22,3
569,D C Adams,M,55,Saskatoon,16,2
570,F J Bass,M,44,Moose Jaw,0,2
571,C I Davis,F,27,North Battleford,15,0
572,L M Summers,M,51,Saskatoon,23,2
573,D E Simon,F,33,Regina,11,1
574,H N Hensley,F,25,Saskatoon,25,2
575,M A Pierce,F,41,Regina,9,1
576,R E Page,F,34,Regina,11,0
577,E E Alvarado,M,40,Saskatoon,18,1
578,C R Scott,F,55,Saskatoon,0,2
579,L S Ryan,M,24,North Battleford,15,1
580,D R Grant,M,46,Saskatoon,4,2
581,L L Simmons,M,55,Regina,31,1
582,D S Hines,M,34,Saskatoon,10,3
583,K A West,M,33,North Battleford,33,1
584,M W Johns,M,24,Regina,8,3
585,K R Barnett,M,55,Regina,22,2
586,F L Mann,M,30,Saskatoon,4,3
587,E S Harmon,M,20,Regina,20,1
588,D K Ortega,F,22,Saskatoon,22,3
589,C N Shaw,F,35,Saskatoon,1,1
590,C D Paul,M,34,Saskatoon,15,3
591,J K Cannon,F,20,Saskatoon,20,2
592,G C Barber,M,38,Regina,17,3
593,J Z Cohen,F,20,Saskatoon,12,1
594,K R Torres,F,44,Saskatoon,11,2
595,S E Short,F,54,Regina,15,4
596,H J Monroe,F,51,Saskatoon,11,1
597,L A Tate,F,28,Regina,9,2
598,M V Rich,F,19,Regina,12,0
599,W C Roberson,F,45,Regina,37,4
600,B C Potter,M,43,Moose Jaw,7,3
601,A T Chavez,M,27,Saskatoon,18,2
602,K P Hunter,M,25,Regina,7,1
603,M E George,M,21,Saskatoon,0,2
604,R I Hernandez,M,41,Saskatoon,15,2
605,W A Townsend,F,51,Saskatoon,0,2
606,M A Morton,M,51,Saskatoon,29,2
607,C P Brooks,F,55,Saskatoon,0,4
608,O J Combs,F,33,Regina,20,3
609,C C Floyd,M,41,Saskatoon,18,2
610,C R Ellis,F,25,Saskatoon,4,3
611,H M Mann,M,41,Regina,16,0
612,K C Martinez,F,33,Regina,7,2
613,S C Higgins,M,43,Moose Jaw,0,1
614,J S Lowe,F,55,North Battleford,16,1
615,B N Richard,M,44,Saskatoon,36,2
616,J C Morris,M,29,Regina,14,2
